name,phone,email,lead_id,created_at,country,department,campaign_id
Sylvia Steuer,+499224352991,eckart89@example.org,FB25010110_luVmUluKSYOtmWIr,2025-01-01 09:05:17,DE,MCC,129403682201
Alena Gnatz,+490773491982,kobelttillmann@example.net,FB25010110_HrhIz3UuyQ8If88U,2025-01-01 09:22:39,DE,MCC,124758392201
Mikael Borris Jepsen,004587805364,bachludvig@example.com,FB25010111_0wyRQ8iza7Jekl26,2025-01-01 10:14:58,DK,MCC,
Erdogan Ziegert,+493531226572,anatolstroh@example.com,FB25010111_6Ar4sEMgKzD7LSp6,2025-01-01 10:16:39,DE,MCC,124758392201
Karina Ziggy Bertelsen,+4575967231,ostergaardnora@example...com,FB25010111_zL9Mm2PS145MWGpK,2025-01-01 10:49:05,DK,MCC,129503672201
Elias Nilsson,+04148637,mikkelsencarina@example org,FB25010113_ytxUNY3DGIjnfEua,2025-01-01 12:35:55,DK,TELE,
Ali Geißler,4208,eklingelhoefer@example...com,FB25010114_Wh7xgoAuJWr60ngj,2025-01-01 13:25:16,DE,MCC,129403682201
Mercedes Schottin,+494294662036,junkenmagrit@example org,FB25010203_GRJ1CnEKXEmIZEhe,2025-01-02 02:49:59,DE,MCC,124758392201
Sonia Jens-Uwe Rosenow,+491370363583,van-der-dussenraissa@@example.org,FB25010214_KBLoTgqOfAl72T7h,2025-01-02 13:43:41,DE,MCC,129403682201
Line Danielsen,+4556260484,oscarsvendsen@example.org,FB25010219_83TRdJ8GXHwtabWG,2025-01-02 18:36:46,DK,MCC,126473852201
Vagn Kristoffersen,+4514428243,abelone82@example.net,FB25010220_UuWp0FqDBv7ZEweI,2025-01-02 19:25:09,DK,TELE,
Zenia Erling Jepsen,+4512062985,annemette06@example.net,FB25010222_3wV6s2PYFvW2tIAA,2025-01-02 21:55:19,DK,MCC,0
Aage Lind,+4541269454,olesenib@example com,FB25010223_6TUpkxNNRxGhyoVp,2025-01-02 22:11:36,DK,TELE,126473852201
Ziggy Eriksen,+4501992294,silje21@@example.com,FB25010223_Kdhs1OQV3qSJvsnl,2025-01-02 22:49:45,DK,MCC,124816932201
Zahra Bjarne Christiansen,74228974,sravn@example.com,FB25010223_oe8ppAr3KC7wmKwT,2025-01-02 22:52:40,DK,TELE,127391842201
Joan Iversen,+4536900429,johnsengeorg@example.com,FB25010300_Yb2LO4bn4fTZKXFY,2025-01-02 23:01:29,DK,MCC,128209572201
Carina Ortwin Bauer,+492983893901,trude60@example.org,FB25010302_5hnneLXcyeqZbLOB,2025-01-03 01:18:56,DE,TELE,129403682201
Hans-Walter Carmine Christoph,+495170266658,saban97@example.com,FB25010308_1ueYS67RLi2h48yR,2025-01-03 07:28:58,DE,MCC,
Victoria Nilsson,004500887347,christiansencurt@example.net,FB25010309_9RnisdBoiXG4y6xW,2025-01-03 08:38:47,DK,MCC,129503672201
Stina Skov,4554795011,janne09@example.com,FB25010310_rc6APd2PbFV3M8tt,2025-01-03 09:59:00,DK,MCC,127391842201
André Schmidt,+4508641249,thygesenkaspar@example.net,FB25010311_rztFx0mrTulfK2Ig,2025-01-03 10:19:26,DK,MCC,127391842201
Aage Østergaard,+88937101,rschou@example.net,FB25010312_1xvSHuOPxnuKCIVQ,2025-01-03 11:22:53,DK,TELE,129503672201
Karina Ziggy Andreasen,+4546027912,aiversen@example.net,FB25010312_pWbY1bLtsDaEs9p3,2025-01-03 11:39:05,DK,MCC,
Amanda Mortensen,+4579428362,laustjensen@example.net,FB25010313_Bw6WMN9YrBKdhdzT,2025-01-03 12:20:29,DK,MCC,
Margrethe Gregersen,4527291020,gpetersen@example.net,FB25010313_jt99dM4vppv2If1W,2025-01-03 12:22:23,DK,MCC,
Mike Carlsen,53041327,kurt53@example.com,FB25010315_YuVaePjX2roBeeYs,2025-01-03 14:19:29,DK,MCC,126473852201
Amanda Bach,+4580586860,yngvejakobsen@example.net,FB25010315_47fqv4iWRU5R1J5k,2025-01-03 14:50:08,DK,TELE,126473852201
