contactperson,country,sale_lead_id,company_email,company_phone,department,sale_at,other_info
Peter Jack Lauritsen,DK,,Nissenlone@example.com,+4595043346,MCC,2025-01-17 18:49:32,
Z. Friis,DK,,nete63@example.org,+4554632537,MCC,2025-03-31 19:52:48,
Vincent James Döring,DE,,hans-theomueller@example.net,+4949403206,MCC,2025-04-25 17:02:43,+496533724350
Nete Carlsen,DK,,porterchristopher@example.org,+99677073,MCC,2025-01-29 10:45:36,+99677073
David Wilson,DK,,albert28@example.com,+4538239191,MCC,2025-04-10 19:31:32,+4529656890
Merethe Jepsen,DK,,josephgraham@example.net,28654047,MCC,2025-02-27 08:47:11,
Chantal Editha Heintze,DE,,klemens70@example.net,+1049924346,MCC,2025-04-20 18:15:02,
Liva Andresen,DK,,sondergaardsolveig@example.com,+4598109633,TELE,2025-04-07 07:46:10,
boe henriksen,DK,,Pkristoffersen@example.org,76258626,MCC,2025-05-23 21:24:35,+4569522901
Emma Brown,DE,,stanleybell@example.org,+4974201484,TELE,2025-01-31 09:05:17,+496346344191
Martin Bach,DK,,jennifer89@example.com,79920820,MCC,2025-01-26 01:39:09,
Henriette Lee Rasmussen,DK,,nicholasjohnson@example.com,04806497,MCC,2025-05-24 18:30:24,rasmussenbritta@example.net
Gertrud Klausen,DK,,hansencaroline@example.net,+4594602563,MCC,2025-05-18 12:50:02,
Helge Keudel,DE,,steymarion@example.net,+3619299218,TELE,2025-03-10 22:21:53,
Zacharias Kenn Schmidt,DK,,jonathan33@example.org,45096987,MCC,2025-03-09 07:29:29,bnilsson@example.net
Detlef Schönland,DE,FB25020211_lvBlEodVV88kP7gq,bauerjennifer@example.org,2910088131,TELE,2025-05-14 10:54:08,2910088131
Alexei Mülichen,DE,,heydrichdorota@example.org,+491878459042,TELE,2025-04-20 11:19:09,
H. Ziegert,DE,,knappedaniel@example.org,+4970887417,TELE,2025-03-08 08:12:12,"+493536417051, knappedaniel@example.org"
Dragica Valeri Wirth,DE,,khoffmann@example.net,+498349044492,MCC,2025-02-01 16:19:21,
carina karlsen,DK,,campbellphillip@example.net,77104715,MCC,2025-04-12 19:18:56,+4598385605
mimi bech,DK,,louise92@example.org,70926500,MCC,2025-03-27 07:40:55,"(+45)16492335, louise92@example.org"
Helmut Gunnar Eigenwillig,DE,,anna-marietrommler@example.org,33642557,MCC,2025-02-08 12:42:56,
Camilla Lind,DK,,Nicolinemikkelsen@example.com,+4532305023,MCC,2025-06-25 20:52:45,
Winni Thorsen,DK,,friistage@example.com,+4575805618,MCC,2025-04-05 18:41:45,
Jeppe Carla Thomsen,DK,FB25030313_rhdvSiE4LFDbJiq3,nicholasrodriguez@example.org,+4542659797,MCC,2025-06-13 12:04:45,ronjaholst@example.com
Stig Svendsen,DK,FB25031420_dBbahI12epLuncLz,patricia69@example.org,+4553410155,TELE,2025-01-19 19:53:17,
Kristine Olsen,DK,,Maloujessen@example.net,+4550594686,MCC,2025-02-20 16:05:36,
